image_name,species,position,avg_r,avg_g,avg_b,dom_r,dom_g,dom_b,contrast,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hist_32,hist_33,hist_34,hist_35,hist_36,hist_37,hist_38,hist_39,hist_40,hist_41,hist_42,hist_43,hist_44,hist_45,hist_46,hist_47
BabockaAdmiral_Bechovice_IMG_20200826_230511.jpg,BabockaAdmiral,Bechovice,94.74490087017894,101.19296386869318,71.24752525860491,1,3,0,53.91307952000859,90798,93343,91219,104094,104005,112280,126789,138574,122185,93451,63377,35307,17221,11806,6765,1640,75357,94252,94761,97634,95166,100406,107963,117123,121266,108514,77973,56812,41649,15338,6249,2391,185775,117210,129417,124801,127111,133212,131760,112675,75630,35432,16413,9839,8151,2977,1644,807
BabockaAdmiral_Kolovraty_20170820_163605.jpg,BabockaAdmiral,Kolovraty,86.20332323226359,63.808823394326865,51.13557717164798,10,0,0,41.14925619421827,276795,965856,1171919,1377316,1720377,1849125,1727377,1235660,728937,448235,312190,213454,111250,41284,11012,1981,1276659,1378538,1616146,1913611,2113296,1695136,1009992,552257,287048,158578,91591,50806,28165,16062,4424,459,2098680,1892363,2177708,2083724,1657991,1020475,560202,311288,165783,86859,47374,37515,22404,18443,10888,1071
BabockaAdmiral_Kolovraty_20170820_163537.jpg,BabockaAdmiral,Kolovraty,82.8070339729256,58.097915994136855,45.18551956372827,18,4,3,39.890652517350254,316964,1181416,1225609,1269377,1715848,2017457,1882886,1096000,549906,330723,218010,226544,121436,33036,6754,802,1642471,1450652,1593012,2082801,2355357,1594160,764058,357554,143490,62384,47198,48016,36129,13383,2013,90,2615808,1892129,2386108,2303769,1473803,775304,351996,163567,63609,34523,24815,32085,37025,30764,7201,262
BabockaAdmiral_Kolovraty_20170820_163406.jpg,BabockaAdmiral,Kolovraty,123.91730105911964,93.87266197470501,77.25109179474259,52,25,16,49.85976977181796,48643,212782,450601,665091,812067,1069951,1471703,1693483,1655979,1375188,1045371,727056,490274,318662,114000,41917,504107,729128,821108,1046333,1512681,1803900,1753601,1325806,919308,675987,503367,330674,145616,67851,37216,16085,953179,1073429,1242744,1647783,1871137,1655475,1197835,862529,620529,460223,300382,155296,67661,35571,31511,17484
BabockaAdmiral_Kolovraty_20170820_163519.jpg,BabockaAdmiral,Kolovraty,96.94028714398569,72.2454629662436,53.86700099600025,14,0,0,43.25333454996057,81103,504390,985535,1272316,1497200,1740162,1899378,1572822,1062310,637936,373266,212125,186896,120802,37633,8894,801337,1252000,1359733,1709291,2058505,1871364,1319537,867654,453465,225156,117204,63232,44740,32854,14212,2484,1745442,1906065,2142344,2138805,1725600,1118713,631268,354026,172229,93827,54688,30985,21607,29461,22753,4955
BabockaAdmiral_Kolovraty_20170820_163535.jpg,BabockaAdmiral,Kolovraty,82.18106233137546,57.70913684242987,44.94293371283699,12,0,0,40.03480978445768,331170,1223334,1245436,1288388,1736468,1993068,1838929,1055788,540168,323405,228822,226332,120198,33195,7268,799,1698283,1462089,1610446,2079971,2306612,1564637,759689,346082,141244,69022,54760,49064,35435,13059,2304,71,2680794,1911908,2359302,2262938,1448302,778365,349725,158511,68592,39941,27257,34424,36401,29308,6765,235
BabockaAdmiral_Kolovraty_20170820_163422.jpg,BabockaAdmiral,Kolovraty,149.7657978893718,113.54608436738893,90.08815086123184,255,255,255,56.90404903538792,9854,61539,197142,330846,638080,927702,949395,936829,1096385,1371125,1582595,1418810,1084523,745358,445104,397481,275315,514486,741108,881416,948818,1039313,1261625,1489297,1473480,1213783,893443,634952,434233,220792,78108,92599,692902,1057884,1078091,1090400,1326073,1525909,1522220,1208969,851817,642951,497797,350486,167225,66213,32858,80973
BabockaAdmiral_Kolovraty_20170820_163414.jpg,BabockaAdmiral,Kolovraty,138.24704669194065,103.3006596205226,81.94433577346834,69,33,17,56.95951062947023,28785,139203,342276,586003,872515,924790,1021875,1117203,1265497,1404248,1322050,1112534,841893,581562,406593,225741,470060,740235,907607,927395,1087275,1231427,1423001,1457252,1180085,906334,716580,518656,343075,150954,72905,59927,1089270,1168015,1193880,1284186,1460990,1493158,1279738,980083,713580,554346,426126,278836,118494,49244,36609,66213
BabockaAdmiral_Kolovraty_20170820_163614.jpg,BabockaAdmiral,Kolovraty,134.5371275825145,107.41921908134395,90.1456381356555,255,255,255,51.23535359451195,12153,164883,344785,514649,719984,883833,1160458,1391326,1532285,1588244,1446543,1055275,628212,406719,217221,126198,338513,569584,695965,728821,1019173,1370134,1593316,1641702,1420687,1154358,778694,446508,222903,113378,57014,42018,648719,926149,895266,1108507,1499440,1637052,1606324,1353226,947916,652839,414621,234621,115545,62335,44116,46092
BabockaAdmiral_Kolovraty_20170820_163611.jpg,BabockaAdmiral,Kolovraty,134.06294157323424,106.81357711390883,89.78087740207965,255,255,255,51.31456634123978,11946,172142,347843,524274,724641,870287,1188885,1419641,1553782,1578198,1398510,1017194,627242,417825,216426,123932,350186,582254,702545,712408,1036605,1403026,1628935,1650822,1381340,1102784,752784,444677,228283,117579,57368,41172,664883,942164,874252,1119180,1528441,1663895,1612786,1309277,895964,642913,417811,245206,121910,63542,45124,45420
BabockaAdmiral_Kolovraty_20170820_163951.jpg,BabockaAdmiral,Kolovraty,70.61597596214412,86.96168236777736,31.363573226358444,14,29,0,42.585270142782434,505545,1225312,1783600,2093155,2087703,1792704,1233865,661410,365925,178019,80906,45640,24321,32860,56201,25602,255955,687228,1019538,1359848,1827632,2004137,1865820,1502049,889801,446971,206773,68326,24689,10298,11767,11936,4612801,2778438,1949133,1056259,859846,475764,236495,110307,41832,20997,13242,6298,3855,3301,5493,18707
